Sr. No.,City,bank,Address,,
1,Abohar,BOP,Abohar,,
2,Agra,ICICI,"Ground floor, 18, A/51, Fatehbad Road, Agra - 282001",,
3,Agra,ICICI,"HPCL, Kargil Sahid Capt. Sunil Service Station, Opp Amar Ujala Press, NH-2, Agra",,
4,Agra,ICICI,"HPCL, Modern Service Station, Khoja Ki Sarai, Airport Road, Agra",,
5,Agra,ICICI,"C- 80 / 4, Kamla Nagar, Agra - 282005",,
6,Agra,ICICI,"Ground Floor, 13 /14, Kinari Bazar Crossing, Agra - 282003.",,
7,Agra,ICICI,"3/2B, Nehru Nagar, Agra",,
8,Agra,ICICI,"101, Ground Floor, Block 36/214, Sanjay Palace, Agra",,
9,Agra,UTI,"AGRA : Shop No. Block no. 41-4A, Friends Tower,  Sanjay Place, Agra- 282 004.  (U.P.)",,
10,Agra,UTI,"JAIPUR HOUSE: 20,Shopping Center,Agra.",,
11,Agra,UTI,"KAMALA NAGAR: B-Block, Sumeet Rahul Memorial School,Agra.",,
12,Agra,UTI,"TAJMAHAL: 21/101,Eastern Gate, TajMahal,Agra.",,
13,Agra,UTI,"SADAR BAZAR : 9-A,Taj Road, Agra.",,
14,Agra,UTI,"DAYALBAGH : 2/111,Dayalbaugh Rd, Opp.Radhaswami Samadhi, Agra- 282006.",,
15,Agra,HDFC,"Shop No. 3 , 4 & 11 ; Ground Floor  ",Block No. 17/2/4 , Friends Plaza ; Sanjay Place
16,Ahmedabad,ICICI,"Arvind Mills, Naroda Road, Naroda, Ahmedabad.",,
17,Ahmedabad,ICICI,"Texcellence Complex, Ashima Group, Kokhra, Ahmedabad. ",,
18,Ahmedabad,ICICI,"Shop No. 6, Upper gr, flr.,Sun Complex, C.G.Road, Near Stadium Circle, Ahmedabad - 390009",,
19,Ahmedabad,ICICI,"Shop No. 6, Upper gr, flr.,Sun Complex, C.G.Road, Near Stadium Circle, Ahmedabad - 390009",,
20,Ahmedabad,ICICI,"Swamini Complex, Drive In Road,  Ahmedabad 380 054.",,
21,Ahmedabad,ICICI,"IOCL Co. Pump, Near Pushpraj Towers, Judges Bungalow Road, Bodakdev, Ahmedabad - 380054. ",,
22,Ahmedabad,ICICI,"IOCL Co. Pump, Vejalpur, Ahmedabad.",,
23,Ahmedabad,ICICI,"IOCL Co. Pump, Near Sanghvi School, Vijaynagar, Narayanpura, Ahmedabad - 380013. ",,
24,Ahmedabad,ICICI,"IOCL Company Pump, Sector - 6, Gandhinagar, Gujarat.",,
25,Ahmedabad,ICICI,"IOCL Petrol Pump, Memnagar, Ahmedabad",,
26,Ahmedabad,ICICI,"JMC House Opp.Parimal Garden, Off. C.G. Road, Ambavadi Ahmedabad 380 006",,
27,Ahmedabad,ICICI,"JMC House Opp.Parimal Garden, Off. C.G. Road, Ambavadi Ahmedabad 380 006",,
28,Ahmedabad,ICICI,"FF/ 7&8, Tirthjal Complex, 132 ft Ring Road, Jodhpur Gam, Satellite Road ,Ahmedabad 380 015.",,
29,Ahmedabad,ICICI,"Shop No 4 , First Floor, Pravad tower, Nehru Nagar Char Rasta, Ahmedabad - 380015. ",,
30,Ahmedabad,ICICI,"2, Shashi Shopping Complex, Swaminarayan Chowk, Paldi Vasna, Ahmedabad",,
31,Ahmedabad,ICICI,"Ground Floor, L-8, Sarthak Tower, Ramdev Nagar, Satellite Road, Ahmedabad - 380015. ",,
32,Ahmedabad,ICICI,"Reform Service Station, Ashram Road, Near Nehru Bridge, Ahmedabad - 380004.",,
33,Ahmedabad,ICICI,"IOCL Co. Pump, Near Pushpraj Towers, Judges Bungalow Road, Bodakdev, Ahmedabad - 380054. ",,
34,Ahmedabad,ICICI,"24 Shubh Complex, Near Rajasthan Hospital, Shahi Baug, Ahmedabad - 380004.",,
35,Ahmedabad,ICICI,"ICICI Bank ATM Centre, Vijalpur, Ahmedabad",,
36,Ahmedabad,ICICI,"4 Dhara Complex, Opp Raja Bakery, Near Vijay Char Rasta, Ahmedabad - 380009. ",,
37,Ahmedabad,UTI,"AHMEDABAD:  Sakar-1, Ground Floor, Opp. Gandhigram Railway Station, Off Ashram Road- 380 009.",,
38,Ahmedabad,UTI,"ANKUR CROSSING ROAD : Shop No. 3 UpperGrounf Level, Arambh Complex.",,
39,Ahmedabad,UTI,"EMBASSY MARKET : Near Dinesh Hall, Ashram Road.",,
40,Ahmedabad,UTI,"SHAHIBAUG : Shop No.1, Manibhadra Complex, Opp.Rajasthan Hospital, Ahemedabad.",,
41,Ahmedabad,UTI,"VIJAY CHAR RASTA : Bhumi Complex, Vijay Char Rasta, Navrangpura, Ahemedabad - 380009.",,
42,Ahmedabad,UTI,"MAHALAXMI CHAR RASTA : Ground Floor , Pratiksha Complex, Mahalaxmi Cross Rd, Paldi, Ahemadabad- 380007.",,
43,Ahmedabad,UTI,SARDAR PATEL CHARRASTA : ,,
44,Ahmedabad,UTI,SECOND BRANCH ATM : Ahmedabad.,,
45,Ahmedabad,UTI,"VASTRAPUR : ""Shilalekh"", Nehru Park Circle, Vastrapur, Ahmedabad - 15.",,
46,Ahmedabad,UTI,"JYOTI PLAZA :  Shop no. 5, Syamal Row Houses Charrasta, Satellite Area.",,
47,Ahmedabad,UTI,"CENTRAL PLAZA : Shop No. 9,  Sattadhar Charrastra, Ahmedbad.",,
48,Ahmedabad,UTI,"GANDHINAGAR, Shop No. 7, Ground Floor, Megh Malhar, Sector 11, Gandhinagar.",,
49,Ahmedabad,UTI,"BOPAL : UTI Bank Ltd, Shop No.105, Bhavya Park, Bopal-Ghuma Road, Bopal, Ahmedabad.",,
